ONDERWIJSTYPE;BEVOEGD GEZAG;INSTELLINGSCODE;PERSONEN 2011;PERSONEN 2012;PERSONEN 2013;PERSONEN 2014;PERSONEN 2015;PERSONEN 2016;PERSONEN 2017;PERSONEN 2018;PERSONEN 2019;PERSONEN 2020;PERSONEN 2021;PERSONEN 2022;PERSONEN 2023;PERSONEN 2024;PERSONEN 2025
BAO;10426;14JG;8;8;9;9;9;*;0;0;0;0;0;0;0;0;0
BAO;10799;04JI;9;9;6;5;7;6;*;7;7;7;7;9;0;0;0
BAO;10867;18IU;10;10;10;9;9;9;9;12;14;11;13;12;12;15;14
BAO;10867;18KO;10;8;8;8;7;8;9;10;9;10;11;11;10;8;11
BAO;10867;18LY;10;10;10;11;9;10;8;8;7;9;9;10;6;11;11
BAO;10925;12CN;14;13;14;12;13;15;16;17;16;17;23;21;20;19;16
BAO;10925;12LO;8;10;12;13;13;12;11;13;8;9;11;13;11;10;11
BAO;10925;12TR;38;37;38;42;43;50;51;48;52;54;55;56;54;45;51
BAO;10925;13FU;11;8;8;10;10;11;12;8;11;11;12;14;14;14;11
BAO;10925;13KZ;8;7;8;7;7;9;9;10;9;9;10;11;10;10;10
BAO;10925;13TU;8;7;9;11;12;12;13;12;11;10;12;13;11;12;10
BAO;13603;03DJ;11;11;12;11;11;9;11;11;8;9;9;10;10;13;10
BAO;13622;15GF;17;18;20;23;23;17;23;15;10;8;0;0;0;0;0
BAO;13622;15JN;46;44;43;42;41;40;42;41;44;52;55;56;52;51;51
BAO;13622;15OP;29;28;27;24;23;18;18;18;20;22;23;22;21;21;24
BAO;13622;15XW;18;16;16;13;12;14;15;15;13;17;15;14;16;12;12
BAO;13622;15ZW;8;9;8;10;11;11;13;13;14;15;11;0;0;0;0
BAO;13622;16EK;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0
BAO;13622;16FR;22;20;20;20;20;16;14;14;15;15;17;15;12;9;10
BAO;13622;16HB;20;20;20;18;18;18;21;23;24;23;23;24;24;23;22
BAO;13622;16IK;38;38;34;31;31;32;36;37;38;36;37;30;31;31;28
BAO;13622;16KR;14;13;13;13;15;17;16;19;19;20;18;21;17;14;17
BAO;13622;16LV;24;25;25;25;25;30;26;27;32;32;27;29;35;33;34
BAO;13622;16NN;11;11;11;12;13;12;12;13;14;16;14;15;14;13;10
BAO;13622;21RP;29;29;30;29;31;36;33;34;25;23;23;20;19;16;15
BAO;13622;23AM;30;28;27;22;23;22;21;23;22;21;21;26;25;26;26
BAO;13622;23RC;26;24;22;23;24;23;25;25;27;27;26;26;25;25;27
BAO;13622;26PK;78;81;78;76;73;69;73;73;71;59;57;59;58;50;53
BAO;13622;27PB;32;31;32;28;26;27;26;43;49;60;78;86;85;85;93
BAO;13662;06BH;9;9;9;9;10;9;9;10;9;9;11;11;12;13;12
BAO;13662;06BM;13;11;11;11;12;11;11;13;13;13;15;16;14;13;13
BAO;13662;10MA;23;23;23;20;21;20;13;13;14;17;18;21;17;18;16
BAO;13662;10VB;26;26;25;24;25;21;22;18;16;15;20;17;16;16;15
BAO;13662;11HU;13;12;11;12;15;14;14;15;14;15;15;15;18;15;13
BAO;13662;11UQ;21;20;22;20;21;20;18;20;19;17;18;19;18;18;17
BAO;13662;12MQ;35;33;31;31;34;32;33;32;32;32;34;35;38;39;38
BAO;13662;13XJ;50;49;46;42;42;39;38;41;40;39;45;49;44;56;31
BAO;13682;08IH;38;39;36;35;32;28;29;31;31;33;35;39;36;43;40
BAO;13682;09IH;37;37;37;35;36;37;37;41;44;46;52;56;51;43;47
BAO;13682;10DW;22;23;27;28;31;28;28;30;31;31;33;33;35;30;31
BAO;13682;10VK;21;21;17;17;18;18;19;20;20;24;26;26;28;23;23
BAO;13839;13YH;6;8;6;5;8;7;8;8;10;8;10;8;0;8;8
BAO;20013;32HY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
BAO;20029;32JA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;*
BAO;20032;32HZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
BAO;20083;09IW;13;9;12;9;9;11;14;12;9;8;8;10;10;10;9
BAO;20183;00GQ;21;17;18;17;20;20;21;21;21;21;20;17;16;18;17
BAO;20183;06NZ;16;16;17;17;19;19;18;18;15;14;14;13;14;13;14
BAO;20210;00CV;6;6;8;10;7;8;9;9;10;11;13;12;12;0;10
BAO;20243;06DN;27;25;24;27;28;31;28;32;30;30;36;37;33;36;37
BAO;20243;08JC;25;26;25;26;24;23;27;30;32;35;36;41;35;41;44
BAO;20252;00HZ;18;19;19;18;20;20;20;22;23;22;25;23;23;21;21
BAO;20281;03PY;36;37;36;39;45;43;46;46;50;52;55;50;52;55;52
BAO;20281;04ZT;16;15;16;18;21;23;25;24;23;22;23;25;31;31;27
BAO;20281;05HC;21;21;23;24;21;21;20;22;21;28;30;29;25;30;28
BAO;20281;06KA;20;21;23;21;21;23;22;23;26;24;24;25;25;25;26
BAO;20281;07CQ;36;34;33;37;33;32;34;32;32;36;43;45;41;40;38
BAO;20281;07DP;45;45;44;45;46;47;44;51;54;52;55;53;50;55;54
BAO;20281;07LY;23;23;23;18;19;19;20;25;24;24;25;34;34;28;25
BAO;20281;07SP;23;25;24;21;23;25;27;27;25;51;50;51;47;56;57
BAO;20281;08NF;27;28;29;31;28;28;25;27;27;26;31;34;30;37;29
BAO;20281;08QB;45;44;46;45;43;48;49;46;52;48;47;50;47;49;52
BAO;20281;08VR;13;13;13;12;14;15;15;20;21;21;22;24;22;21;23
BAO;20281;08ZU;32;30;25;24;27;24;25;29;31;29;30;35;34;35;35
BAO;20281;09WY;21;24;24;20;22;26;27;24;25;20;19;24;18;21;23
BAO;20281;10NH;25;23;26;26;22;25;25;30;25;25;28;30;28;33;33
BAO;20281;11EH;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAO;20281;12JQ;50;50;51;52;54;52;57;55;57;29;30;36;37;33;32
BAO;20281;13EK;95;96;98;97;96;94;95;106;104;106;107;102;107;107;108
BAO;20281;13IL;21;21;22;22;22;24;24;24;22;21;22;22;26;26;26
BAO;20281;13JV;32;31;33;36;35;36;35;37;34;35;40;39;41;43;37
BAO;20281;13OW;23;22;24;25;27;26;28;28;30;29;29;29;27;29;28
BAO;20281;13RY;55;49;44;41;47;47;42;42;40;44;46;47;46;56;56
BAO;20281;13TA;49;48;51;50;47;46;42;41;47;43;49;50;44;43;47
BAO;20281;13VQ;19;19;21;22;20;18;15;21;24;22;24;23;25;21;25
BAO;20281;13WM;35;37;43;45;47;45;45;45;44;44;42;42;46;48;47
BAO;20281;13ZE;19;17;16;16;18;18;21;20;21;22;23;24;26;29;29
BAO;20281;13ZY;57;59;64;63;63;65;61;58;64;72;70;76;85;88;81
BAO;20281;15TL;21;22;21;20;19;21;20;19;20;20;25;22;22;23;26
BAO;20281;15VU;69;78;82;83;80;83;86;100;100;107;107;114;108;108;106
BAO;20281;15XZ;18;5;14;16;18;18;13;14;12;11;13;16;12;18;16
