SOORT PRIMAIR ONDERWIJS;PROVINCIE;BEVOEGD GEZAG NUMMER;INSTELLINGSCODE;VESTIGINGSCODE;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;CLUSTER;ONDERWIJS;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM;VAKANTIEREGIO
(V)SO;Drenthe;41414;06SV;06SV00;De Aventurijn;Witterhoofdweg;1-G;9405 HX;ASSEN;0106;ASSEN;Algemeen bijzonder;0592820394;www.renn4.nl;4;SO LZ/P + VSO LZ/P + RP-SO LZ/P + RP-VSO LZ/P;Witterhoofdweg;1-G;9405 HX;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe;Noord
(V)SO;Drenthe;41414;06SV;06SV09;De Aventurijn;van Goghlaan;3;7901 GK;HOOGEVEEN;0118;HOOGEVEEN;Algemeen bijzonder;0528278722;www.renn4.nl;4;SO LZ/P + VSO LZ/P + RP-SO LZ/P + RP-VSO LZ/P;van Goghlaan;3;7901 GK;HOOGEVEEN;14;Hoogeveen;05;Zuid- en Midden-Drenthe;09;Zuidwest-Drenthe;09;Zuidwest-Drenthe;04;Assen-Hoogeveen-Emmen;09;Zuid-West Drenthe;Noord
(V)SO;Drenthe;41414;06SV;06SV11;De Aventurijn;Sparrenlaan;4;7822 EM;EMMEN;0114;EMMEN;Algemeen bijzonder;0591763542;www.renn4.nl;4;SO LZ/P + VSO LZ/P + RP-SO LZ/P + RP-VSO LZ/P;Sparrenlaan;4;7822 EM;EMMEN;12;Emmen;05;Zuid- en Midden-Drenthe;08;Zuidoost-Drenthe;08;Zuidoost-Drenthe;04;Assen-Hoogeveen-Emmen;08;Zuid-Oost Drenthe;Noord
(V)SO;Drenthe;41414;16QX;16QX00;G.J. van der Ploegschool;De Wielewaal;1;7905 GX;HOOGEVEEN;0118;HOOGEVEEN;Algemeen bijzonder;0528234444;www.renn4.nl;3;SO ZMLK + VSO ZMLK;van Goghlaan;3;7901 GK;HOOGEVEEN;14;Hoogeveen;05;Zuid- en Midden-Drenthe;09;Zuidwest-Drenthe;09;Zuidwest-Drenthe;04;Assen-Hoogeveen-Emmen;09;Zuid-West Drenthe;Noord
(V)SO;Drenthe;41414;16QX;16QX01;de Windroos;Voltastraat;27;7903 AA;HOOGEVEEN;0118;HOOGEVEEN;Algemeen bijzonder;0528236036;www.renn4.nl;3/4;SO ZMLK + VSO ZMLK + RP-SO ZMLK + RP-VSO ZMOK;Voltastraat;27;7903 AA;HOOGEVEEN;14;Hoogeveen;05;Zuid- en Midden-Drenthe;09;Zuidwest-Drenthe;09;Zuidwest-Drenthe;04;Assen-Hoogeveen-Emmen;09;Zuid-West Drenthe;Noord
(V)SO;Drenthe;41629;19SK;19SK00;Regionaal Expertisecentrum Mackay;Colijnstraat;4;7942 BH;MEPPEL;0119;MEPPEL;Openbaar;0522251982;www.stichtingpromes.nl;3;SO ZMLK + VSO ZMLK;Colijnstraat;4;7942 BH;MEPPEL;15;Meppel;05;Zuid- en Midden-Drenthe;09;Zuidwest-Drenthe;09;Zuidwest-Drenthe;05;Zwolle-Meppel en omstreken;09;Zuid-West Drenthe;Noord
(V)SO;Drenthe;42510;19VO;19VO03;Prins Johan Frisoschool V(S)O Emmen;Boermarkeweg;68;7824 AA;EMMEN;0114;EMMEN;Openbaar; ; ;3;SO LG,MGF + VSO LG;Boermarkeweg;68;7824 AA;EMMEN;12;Emmen;05;Zuid- en Midden-Drenthe;08;Zuidoost-Drenthe;08;Zuidoost-Drenthe;04;Assen-Hoogeveen-Emmen;08;Zuid-Oost Drenthe;Noord
(V)SO;Drenthe;42719;20BG;20BG00;W A van Lieflandschool;Witterhoofdweg;1-G;9405 HX;ASSEN;0106;ASSEN;Openbaar;0592820650;www.liefland-assen.nl;3;SO ZMLK + VSO ZMLK;Witterhoofdweg;1-G;9405 HX;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe;Noord
(V)SO;Drenthe;42830;00SU;00SU00;Openbare School voor Zeer Moeilijk Lerende Kinderen te Emmen;Velodrome;2;7825 SH;EMMEN;0114;EMMEN;Openbaar;0591652190;www.zml-triantaschool.nl;3;SO ZMLK + VSO ZMLK;Velodrome;2;7825 SH;EMMEN;12;Emmen;05;Zuid- en Midden-Drenthe;08;Zuidoost-Drenthe;08;Zuidoost-Drenthe;04;Assen-Hoogeveen-Emmen;08;Zuid-Oost Drenthe;Noord
(V)SO;Drenthe;42830;00SU;00SU03;Mytylschool Emmen;Boermarkeweg;68;7824 AA;EMMEN;0114;EMMEN;Openbaar; ; ;3;SO ZMLK + VSO ZMLK;Boermarkeweg;68;7824 AA;EMMEN;12;Emmen;05;Zuid- en Midden-Drenthe;08;Zuidoost-Drenthe;08;Zuidoost-Drenthe;04;Assen-Hoogeveen-Emmen;08;Zuid-Oost Drenthe;Noord
(V)SO;Drenthe;46013;02YL;02YL06;Portalis;Oude Asserstraat;20;9341 BC;VEENHUIZEN;1699;NOORDENVELD;Algemeen bijzonder; ; ;4;SO ZMOK + VSO ZMOK;Oude Asserstraat;20;9341 BC;VEENHUIZEN;01;Groningen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;01;Groningen en omstreken;07;Noord- en Midden Drenthe;Noord
